fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220601 043610	0	0	0	1	hist	lossguide	256	0	1	0.0102459871477559	0.20027256531863	8	589	0.0135166504987047	184	13307000	37
20220601 043921	0	0	0	1	hist	lossguide	256	0	1	0.0102554623563719	0.200066456976148	10	263	0.0122571889614485	234	12821000	38
20220601 044412	0	0	0	1	hist	lossguide	256	0	1	0.0102053565380042	0.201365134167581	7	1023	0.0163664264844713	543	13128000	39
20220601 044434	0	0	0	1	hist	lossguide	256	0	1	0.187988658064856	0.200365401312748	8	6	0.0122341597340686	40	12561000	40
20220601 044553	0	0	0	1	hist	lossguide	256	0	1	0.0399009061439747	0.201067124786163	8	358	0.0138336692450285	120	13236000	41
20220601 044936	0	0	0	1	hist	lossguide	256	0	1	0.010461870190577	0.87120336150095	9	1024	0.0159802129914722	314	13074000	42
20220601 045312	0	0	0	1	hist	lossguide	256	0	1	0.0102456558413323	0.813109630087264	10	1023	0.0228829435681582	287	12024000	43
20220601 045705	0	0	0	1	hist	lossguide	256	0	1	0.0100556700579224	0.201222866062346	7	835	0.0136012506531801	311	12937000	44
20220601 045846	0	0	0	1	hist	lossguide	256	0	1	0.0322596797764195	0.202279697160015	10	1024	0.0159882979685485	198	12809000	45
20220601 050021	0	0	0	1	hist	lossguide	256	0	1	0.0259935023090446	0.553620395339804	8	502	0.0127741545781606	103	13170000	46
20220601 050421	0	0	0	1	hist	lossguide	256	0	1	0.0105529081122577	0.200193764981381	2	508	0.00978690964768786	82	12944000	47
20220601 050449	0	0	0	1	hist	lossguide	256	0	1	0.185282176355227	0.999841303938852	10	335	0.012746331844873	15	12313000	48
20220601 050641	0	0	0	1	hist	lossguide	256	0	1	0.0238925208960369	0.201002300198262	8	487	0.0127890329933049	164	13003000	49
20220601 050948	0	0	0	1	hist	lossguide	256	0	1	0.0104276905025827	0.565248309118929	9	135	0.0146981002622788	194	13623000	50
20220601 051318	0	0	0	1	hist	lossguide	256	0	1	0.0102678799951139	0.200323596178743	9	4	0.0152261932088418	1056	13191000	51
20220601 051650	0	0	0	1	hist	lossguide	256	0	1	0.0103288966675943	0.761554225659089	10	179	0.0145647900402455	284	13263000	52
20220601 052029	0	0	0	1	hist	lossguide	256	0	1	0.0102994900491727	0.490580254996124	8	210	0.0148439666470452	289	13188000	53
20220601 052414	0	0	0	1	hist	lossguide	256	0	1	0.0107675791184226	0.209415709767221	8	1024	0.0247896077082435	342	11959000	54
20220601 052457	0	0	0	1	hist	lossguide	256	0	1	0.0816047859906198	0.599193898889201	9	96	0.0140228743302409	16	12508000	55
20220601 052808	0	0	0	1	hist	lossguide	256	0	1	0.0102945006105849	0.567129616669062	9	588	0.0152239149920265	196	13517000	56
20220601 052834	0	0	0	1	hist	lossguide	256	0	1	0.223766251888607	0.20168822027333	9	295	0.00873422580240742	12	11104000	57
20220601 052911	0	0	0	1	hist	lossguide	256	0	1	0.122061621946531	0.999111463226599	9	1023	0.0143593125851906	30	12540000	58
20220601 052941	0	0	0	1	hist	lossguide	256	0	1	0.143658526622784	0.200179734084269	3	42	0.00912366936715334	19	11190000	59
20220601 053313	0	0	0	1	hist	lossguide	256	0	1	0.0100662214876521	0.924962469060371	9	373	0.0153996228346628	229	13175000	60
20220601 053344	0	0	0	1	hist	lossguide	256	0	1	0.227173269785835	0.651367105643137	9	2	0.0145599996563309	166	13019000	61
20220601 053706	0	0	0	1	hist	lossguide	256	0	1	0.0100787935070597	0.604200431291982	9	343	0.0143647163185932	219	13660000	62
20220601 053739	0	0	0	1	hist	lossguide	256	0	1	0.166871147528098	0.454057187556081	8	1024	0.0143287729768688	10	11731000	63
20220601 054106	0	0	0	1	hist	lossguide	256	0	1	0.0100932158201815	0.61710347207014	9	45	0.0136590541601796	243	13464000	64
20220601 054211	0	0	0	1	hist	lossguide	256	0	1	0.0384262823258292	0.619871948454122	9	345	0.015285664068093	52	13006000	65
20220601 054242	0	0	0	1	hist	lossguide	256	0	1	0.299481181758498	0.200895485608816	9	5	0.0154689428600318	129	12048000	66
20220601 054610	0	0	0	1	hist	lossguide	256	0	1	0.0101022903472905	0.877519734241055	8	658	0.0140059832028996	201	13174000	67
20220601 054632	0	0	0	1	hist	lossguide	256	0	1	0.299795816036823	0.999678367269911	10	4	0.0349478074856386	60	9918000	68
20220601 054952	0	0	0	1	hist	lossguide	256	0	1	0.0101024738027979	0.543848752117177	9	981	0.0138810524431951	217	13690000	69
20220601 055315	0	0	0	1	hist	lossguide	256	0	1	0.0100132816685206	0.561513997418943	9	1024	0.0141645393524258	212	13514000	70
20220601 055740	0	0	0	1	hist	lossguide	256	0	1	0.0100104224988583	0.294337962450511	9	971	0.0190042024162552	503	12482000	71
20220601 060003	0	0	0	1	hist	lossguide	256	0	1	0.0152464485578899	0.991142883420695	10	963	0.0132773599018056	157	13451000	72
