fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	lambda_l1	lambda_l2	ganancia	iteracion
20220611 230052	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	1300	TRUE	0.0100013355627254	0.367875136167904	4506	929	0.0183907322413993	11.0681405764079	71.8074739855714	13067000	31
20220611 230109	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	79	TRUE	0.137412165149911	0.785923784144565	4272	368	0.0164451079248065	6.58692791496498	68.61390601949	12839000	32
20220611 230155	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	451	TRUE	0.0304403466122514	0.244840761812184	3896	331	0.0150072232759339	12.7759691516213	34.6211477308316	13123000	33
20220611 230206	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	32	TRUE	0.264970250688673	0.247408673698402	4263	242	0.0293719740835331	0.0163629957386693	60.1273357210708	11921000	34
20220611 230212	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	17	TRUE	0.281614041832555	0.682510687154326	863	305	0.0220357080026254	39.5630335967744	84.0602988252745	12858000	35
20220611 230244	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	252	TRUE	0.027460462336265	0.206225265458458	4001	475	0.026396520961028	35.0518546187537	93.9943369582856	11635000	36
20220611 230258	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	92	TRUE	0.243305306131528	0.36668229479679	6056	754	0.0136381362234319	12.922861602284	53.3181704244504	12838000	37
20220611 230308	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	34	TRUE	0.267214853916497	0.57351548773425	620	291	0.0178092620948932	14.6175022684674	64.89883272235	13010000	38
20220611 230547	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	1476	TRUE	0.0113225757464727	0.505122690208401	4423	753	0.0110959654036146	24.6240911532455	73.2962587838096	12353000	39
20220611 230559	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	46	TRUE	0.299987017223892	0.465797475021177	7997	385	0.0162382516232192	5.59490616651709	69.6820271656689	13363000	40
20220611 230631	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	318	TRUE	0.0639575897670844	0.239549495370056	8000	550	0.0150500278644667	0.0289073719883897	50.4364715369147	13585000	41
20220611 230641	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	44	TRUE	0.247624486317258	0.621155721784067	7991	105	0.0154839097177379	0.355500678306174	6.34208499193989	12453000	42
20220611 230903	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	1019	TRUE	0.0101332768323628	0.45968335104573	1913	521	0.0200603693685625	0.202979040694512	79.8651064827904	13032000	43
20220611 230914	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	27	TRUE	0.267517350470096	0.257037622880992	623	395	0.00873719104029422	0.0439341380136733	37.6427079459085	12518000	44
20220611 231032	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	543	TRUE	0.0106407632133713	0.212309641446975	4041	340	0.0346560444066324	1.22314575137236	0.0266876051705401	10688000	45
20220611 231123	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	702	TRUE	0.0205940596458374	0.985932082513862	7998	649	0.0155193742623222	10.3305901297578	43.1463090172948	12652000	46
20220611 231206	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	427	TRUE	0.0846666414828802	0.252723342134087	7990	983	0.0151357927949575	9.83407674209641	90.7173539363935	13556000	47
20220611 231223	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	117	TRUE	0.209450927702075	0.347055289265779	7999	441	0.0129285336837211	0.371673779517198	96.2931080858133	13332000	48
20220611 231255	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	432	TRUE	0.16395876376528	0.200114851086323	7998	589	0.0147428335648013	17.5320632201668	75.2489194823158	13010000	49
20220611 231310	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	63	TRUE	0.260455272668157	0.494290910818127	2285	757	0.014643150621584	0.550737637635217	99.1142670370054	13413000	50
20220611 231353	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	365	TRUE	0.0486351924577487	0.420664370975586	7094	771	0.0157866795589304	0.00275097619487135	99.1345738566845	13278000	51
20220611 231407	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	56	TRUE	0.296336743066841	0.415440997257842	2927	245	0.0143293469602556	0.0277392437353252	83.509714167031	13658000	52
20220611 231433	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	219	TRUE	0.0853426105501324	0.200603095226105	1222	1014	0.013737378895216	2.66089521628153	91.7015302145654	13251000	53
20220611 231522	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	443	TRUE	0.010213946114089	0.813045102326948	193	571	0.0146566221559849	35.1868339568318	99.0837309506133	12804000	54
20220611 231531	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	44	TRUE	0.297140907944131	0.887717758337353	3371	226	0.0200148017166146	2.90796615779026	99.8393679371489	12864000	55
20220611 231543	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	60	TRUE	0.29031466526553	0.20018541942466	6185	1016	0.015070072298051	0.0427454276879753	94.1656343525433	13352000	56
20220611 231552	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	56	TRUE	0.299930221518428	0.68981044626854	7987	844	0.0087418402394355	0.852516188133729	89.0121046683873	11679000	57
20220611 231600	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	30	TRUE	0.298231370246992	0.793683148914572	59	16	0.0321445565214969	3.77313375712398	50.2398363610341	11269000	58
20220611 231613	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	87	TRUE	0.298919306638041	0.201215674840669	2258	458	0.0146550984060421	0.134867285285561	58.5587987283056	13099000	59
20220611 231748	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	772	TRUE	0.0133207523902126	0.384659537941893	7985	378	0.0130173833481373	0.464547239927577	31.5003447006588	13235000	60
20220611 231756	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	37	TRUE	0.290826377189859	0.629551018916636	1751	340	0.0132003289922646	23.9120861044543	98.3376157798883	12780000	61
20220611 231808	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	47	TRUE	0.268135562663193	0.37970127157842	4447	352	0.0161642578407663	0.0450986703041105	91.9899074901931	13316000	62
