fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220525 204346	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	113	TRUE	0.0809846542684221	0.394565442295933	6065	158	0.014954112948111	13550000	66
20220525 204440	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	465	TRUE	0.0111351414613073	0.953733468649865	7986	975	0.0156182532549818	13082000	67
20220525 204553	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	414	TRUE	0.0230785829438258	0.513311125214945	2330	814	0.016079574116968	13744000	68
20220525 204729	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	609	TRUE	0.0100204359117544	0.580903429449655	5117	119	0.0153142927148158	13776000	69
20220525 204736	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	16	TRUE	0.299402249357872	0.663602956407861	7897	523	0.0192191739278315	12866000	70
20220525 204751	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	74	TRUE	0.132030615273061	0.381062009398864	7999	472	0.01563087664248	13082000	71
20220525 204916	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	596	TRUE	0.0101991128886179	0.592876883957719	7793	802	0.0154842776747415	13350000	72
20220525 204936	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	96	TRUE	0.0527868156902843	0.999688706541469	7735	119	0.0151108770512438	12997000	73
20220525 205055	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	756	TRUE	0.0145497683087415	0.204108176661161	7928	706	0.0152963305097677	13421000	74
20220525 205155	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	400	TRUE	0.0101415289734122	0.669781222165481	5275	59	0.0136999130401432	13195000	75
20220525 205254	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	515	TRUE	0.0112203443369107	0.652273998308534	7865	1024	0.00837849865169162	11209000	76
20220525 205347	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	255	TRUE	0.0178883228960184	0.243785241931074	6916	1020	0.0176029331510302	13424000	77
20220525 205401	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	23	TRUE	0.235106727447494	0.999374858984104	7974	765	0.0208080893962718	12791000	78
20220525 205622	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1479	TRUE	0.0112725546621337	0.202731805196626	5414	834	0.0156073630507556	13355000	79
20220525 205631	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	15	TRUE	0.299907233148323	0.998348275112283	2366	505	0.0202083558685367	12247000	80
20220525 205651	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	125	TRUE	0.0428250216937627	0.652050415928522	7345	264	0.0156269981274781	13209000	81
20220525 205752	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	475	TRUE	0.0234920442961577	0.200622862026309	7979	555	0.0287791081417842	11568000	82
20220525 210038	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1788	TRUE	0.0102003925522931	0.200716127595184	5417	33	0.0151024217052906	13422000	83
20220525 210047	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	10	TRUE	0.29989400717365	0.200163449184047	5612	536	0.018502315447425	12684000	84
